"date","value"
2021-01-28 19:17:49,1920
2021-01-28 19:14:00,1920
2021-01-28 19:13:50,1980
2021-01-28 19:12:05,1980
2021-01-28 19:11:55,1920
2021-01-28 19:10:01,1920
2021-01-28 19:09:50,1980
2021-01-28 19:08:06,1980
2021-01-28 19:07:56,1920
2021-01-28 19:06:02,1920
2021-01-28 19:05:51,1980
2021-01-28 19:05:10,1980
2021-01-28 19:00:08,1980
2021-01-28 18:59:58,2040
2021-01-28 18:56:09,2040
2021-01-28 18:55:59,2100
2021-01-28 18:52:00,2100
2021-01-28 18:51:49,2160
2021-01-28 18:50:05,2160
2021-01-28 18:49:55,2100
2021-01-28 18:48:00,2100
2021-01-28 18:47:50,2160
2021-01-28 18:44:01,2160
2021-01-28 18:43:51,2100
2021-01-28 18:42:07,2100
2021-01-28 18:41:56,2160
2021-01-28 18:41:04,2160
2021-01-28 18:36:03,2160
2021-01-28 18:35:52,2100
2021-01-28 18:34:08,2100
2021-01-28 18:33:58,2160
2021-01-28 18:31:01,2160
2021-01-28 18:26:00,2160
2021-01-28 18:25:49,2220
2021-01-28 18:25:08,2220
2021-01-28 18:20:06,2220
2021-01-28 18:19:56,2280
2021-01-28 18:17:09,2280
2021-01-28 18:12:08,2280
2021-01-28 18:11:58,2220
2021-01-28 18:11:06,2220
2021-01-28 18:06:05,2220
2021-01-28 18:05:54,2160
2021-01-28 18:05:02,2160
2021-01-28 18:00:01,2160
2021-01-28 17:59:51,2100
2021-01-28 17:58:07,2100
2021-01-28 17:57:56,2160
2021-01-28 17:57:04,2160
2021-01-28 17:52:03,2160
2021-01-28 17:51:52,2220
2021-01-28 17:48:04,2220
2021-01-28 17:47:53,2160
2021-01-28 17:46:09,2160
2021-01-28 17:45:59,2220
2021-01-28 17:42:00,2220
2021-01-28 17:41:49,2160
2021-01-28 17:40:06,2160
2021-01-28 17:39:55,2100
2021-01-28 17:38:01,2100
2021-01-28 17:37:50,2160
2021-01-28 17:36:06,2160
2021-01-28 17:35:56,2100
2021-01-28 17:35:04,2100
2021-01-28 17:30:03,2100
